Question,Answer
Calculate the integral of 38x from 0 to 86.,140524
What is the perimeter of a square with side length 47?,188
What is the probability of rolling a die and getting a number greater than 22?,-266.67%
"Calculate the average of the numbers 24, 81, and 50.",51
What is the solution for x in the equation 2x - 40 = 34?,37
What is 25 plus 59?,84
What is the probability of rolling a die and getting a number greater than 89?,-1383.33%
Calculate the integral of 62x from 0 to 96.,285696
Find the derivative of 20x^2 at x = 89.,3560
What is 67 minus 85?,-18
What is the solution for x in the equation 2x - 80 = 86?,83
"Calculate the average of the numbers 71, 33, and 59.",54
Find the derivative of 37x^2 at x = 84.,6216
What is 83 minus 95?,-12
What is 53 plus 19?,72
What is 32 divided by 69?,0
What is 65 minus 6?,59
Calculate the integral of 24x from 0 to 67.,53868
Solve for x in the equation x + 59 = 57.,-2
Solve for x in the equation x + 49 = 56.,7
Calculate the integral of 10x from 0 to 91.,41405
Solve for x in the equation x + 41 = 69.,28
What is the area of a circle with radius 58?,10562.96
What is 78 plus 29?,107
Calculate the integral of 3x from 0 to 36.,1944
Solve for x in the equation x + 18 = 25.,7
What is the probability of rolling a die and getting a number greater than 29?,-383.33%
Find the derivative of 43x^2 at x = 78.,6708
Calculate the integral of 78x from 0 to 79.,243399
Solve for x in the equation x + 26 = 16.,-10
Calculate the integral of 88x from 0 to 16.,11264
What is the area of a circle with radius 97?,29544.26
What is the probability of rolling a die and getting a number greater than 30?,-400.0%
"Find the median of 98, 42, and 62.",62
Find the derivative of 81x^2 at x = 40.,6480
What is the perimeter of a square with side length 91?,364
What is the probability of rolling a die and getting a number greater than 80?,-1233.33%
What is the probability of rolling a die and getting a number greater than 30?,-400.0%
What is the probability of rolling a die and getting a number greater than 82?,-1266.67%
"Find the median of 22, 22, and 13.",22
What is the solution for x in the equation 2x - 82 = 91?,86
What is the perimeter of a square with side length 9?,36
Find the derivative of 37x^2 at x = 42.,3108
What is the area of a circle with radius 44?,6079.04
A bag contains 68 red and 28 blue balls. What is the probability of drawing a red ball?,70.83%
Calculate the integral of 60x from 0 to 54.,87480
What is 92 divided by 30?,3
What is the area of a rectangle with width 71 and height 84?,5964
What is the perimeter of a square with side length 43?,172
What is 94 minus 41?,53
Solve for x in the equation x + 52 = 7.,-45
What is the solution for x in the equation 2x - 26 = 26?,26
What is the perimeter of a square with side length 55?,220
What is 70 plus 82?,152
Find the derivative of 98x^2 at x = 30.,5880
What is 22 plus 52?,74
What is the probability of rolling a die and getting a number greater than 14?,-133.33%
A bag contains 8 red and 65 blue balls. What is the probability of drawing a red ball?,10.96%
What is 86 minus 20?,66
What is the perimeter of a square with side length 64?,256
What is 56 minus 82?,-26
What is the perimeter of a square with side length 59?,236
What is the probability of rolling a die and getting a number greater than 17?,-183.33%
"Calculate the average of the numbers 7, 16, and 7.",10
"Calculate the average of the numbers 51, 58, and 94.",67
What is the area of a rectangle with width 62 and height 27?,1674
What is the area of a rectangle with width 6 and height 36?,216
A bag contains 49 red and 95 blue balls. What is the probability of drawing a red ball?,34.03%
Solve for x in the equation x + 11 = 79.,68
What is the area of a circle with radius 64?,12861.44
"Find the median of 87, 34, and 60.",60
A bag contains 60 red and 4 blue balls. What is the probability of drawing a red ball?,93.75%
"Calculate the average of the numbers 90, 99, and 50.",79
Find the derivative of 56x^2 at x = 34.,3808
What is 58 minus 92?,-34
What is 35 plus 29?,64
What is 69 divided by 6?,11
Solve for x in the equation x + 68 = 49.,-19
Calculate the integral of 97x from 0 to 72.,251424
What is 88 times 54?,4752
What is the area of a rectangle with width 66 and height 66?,4356
Solve for x in the equation x + 2 = 59.,57
What is the probability of rolling a die and getting a number greater than 1?,83.33%
"Find the median of 57, 32, and 91.",57
"Calculate the average of the numbers 15, 18, and 58.",30
"Find the median of 59, 8, and 61.",59
"Calculate the average of the numbers 4, 7, and 47.",19
Calculate the integral of 15x from 0 to 72.,38880
Solve for x in the equation x + 12 = 83.,71
"Calculate the average of the numbers 97, 59, and 2.",52
What is 52 minus 59?,-7
What is the solution for x in the equation 2x - 21 = 30?,25
What is the area of a circle with radius 55?,9498.5
What is the perimeter of a square with side length 27?,108
Solve for x in the equation x + 61 = 15.,-46
Calculate the integral of 41x from 0 to 88.,158752
Solve for x in the equation x + 46 = 42.,-4
What is 14 minus 8?,6
"Calculate the average of the numbers 15, 75, and 90.",60
What is the area of a rectangle with width 46 and height 54?,2484
What is 28 plus 58?,86
What is 53 minus 64?,-11
What is 59 divided by 70?,0
"Calculate the average of the numbers 24, 44, and 15.",27
What is 73 minus 88?,-15
What is the area of a rectangle with width 54 and height 93?,5022
What is 73 times 91?,6643
A bag contains 7 red and 45 blue balls. What is the probability of drawing a red ball?,13.46%
What is the solution for x in the equation 2x - 86 = 44?,65
What is the probability of rolling a die and getting a number greater than 72?,-1100.0%
What is 94 minus 6?,88
What is 89 times 44?,3916
Solve for x in the equation x + 26 = 74.,48
Solve for x in the equation x + 47 = 36.,-11
Calculate the integral of 51x from 0 to 67.,114469
What is 57 divided by 41?,1
What is 19 plus 36?,55
What is 90 times 11?,990
Find the derivative of 78x^2 at x = 24.,3744
"Calculate the average of the numbers 16, 24, and 12.",17
What is 2 divided by 69?,0
What is the probability of rolling a die and getting a number greater than 67?,-1016.67%
What is 17 plus 30?,47
What is 73 minus 66?,7
What is 100 minus 5?,95
Solve for x in the equation x + 54 = 27.,-27
"Find the median of 55, 25, and 55.",55
What is the solution for x in the equation 2x - 80 = 63?,71
What is 46 minus 13?,33
What is the area of a circle with radius 100?,31400.0
"Find the median of 85, 99, and 95.",95
Solve for x in the equation x + 55 = 9.,-46
What is 85 divided by 34?,2
"Calculate the average of the numbers 91, 59, and 84.",78
What is the perimeter of a square with side length 75?,300
What is the area of a rectangle with width 88 and height 52?,4576
Find the derivative of 92x^2 at x = 87.,16008
What is 69 times 59?,4071
What is the probability of rolling a die and getting a number greater than 72?,-1100.0%
What is the area of a circle with radius 7?,153.86
What is 45 minus 86?,-41
Find the derivative of 31x^2 at x = 36.,2232
Calculate the integral of 45x from 0 to 66.,98010
Calculate the integral of 24x from 0 to 94.,106032
What is 8 plus 52?,60
What is the solution for x in the equation 2x - 98 = 25?,61
Find the derivative of 40x^2 at x = 76.,6080
What is the area of a circle with radius 52?,8490.56
Find the derivative of 96x^2 at x = 86.,16512
"Calculate the average of the numbers 25, 100, and 99.",74
What is 55 times 7?,385
"Find the median of 24, 74, and 66.",66
Solve for x in the equation x + 92 = 87.,-5
Solve for x in the equation x + 54 = 60.,6
What is 70 minus 47?,23
A bag contains 41 red and 62 blue balls. What is the probability of drawing a red ball?,39.81%
What is the probability of rolling a die and getting a number greater than 53?,-783.33%
What is 97 plus 100?,197
What is 73 plus 36?,109
Calculate the integral of 16x from 0 to 77.,47432
"Calculate the average of the numbers 49, 72, and 34.",51
"Find the median of 55, 65, and 94.",65
What is the perimeter of a square with side length 86?,344
A bag contains 75 red and 45 blue balls. What is the probability of drawing a red ball?,62.5%
Find the derivative of 12x^2 at x = 26.,624
What is the area of a rectangle with width 68 and height 26?,1768
What is the perimeter of a square with side length 94?,376
Calculate the integral of 68x from 0 to 28.,26656
What is the perimeter of a square with side length 8?,32
What is 49 divided by 2?,24
A bag contains 6 red and 33 blue balls. What is the probability of drawing a red ball?,15.38%
"Find the median of 75, 81, and 40.",75
"Find the median of 33, 55, and 75.",55
Calculate the integral of 66x from 0 to 55.,99825
What is the area of a rectangle with width 93 and height 45?,4185
What is the area of a circle with radius 51?,8167.14
Calculate the integral of 57x from 0 to 69.,135688
What is the solution for x in the equation 2x - 39 = 56?,47
"Calculate the average of the numbers 73, 35, and 43.",50
A bag contains 36 red and 24 blue balls. What is the probability of drawing a red ball?,60.0%
What is the area of a rectangle with width 12 and height 84?,1008
"Find the median of 96, 2, and 72.",72
What is 100 times 31?,3100
What is the solution for x in the equation 2x - 64 = 84?,74
What is the perimeter of a square with side length 74?,296
What is the area of a circle with radius 24?,1808.64
What is 10 plus 37?,47
What is the area of a circle with radius 29?,2640.74
What is the probability of rolling a die and getting a number greater than 10?,-66.67%
Find the derivative of 65x^2 at x = 60.,7800
What is 22 times 57?,1254
A bag contains 30 red and 93 blue balls. What is the probability of drawing a red ball?,24.39%
"Calculate the average of the numbers 30, 12, and 70.",37
What is the probability of rolling a die and getting a number greater than 15?,-150.0%
What is the area of a circle with radius 8?,200.96
What is 94 times 29?,2726
What is the area of a circle with radius 42?,5538.96
A bag contains 72 red and 54 blue balls. What is the probability of drawing a red ball?,57.14%
A bag contains 69 red and 75 blue balls. What is the probability of drawing a red ball?,47.92%
What is 8 minus 37?,-29
"Find the median of 77, 58, and 69.",69
Solve for x in the equation x + 44 = 63.,19
What is the perimeter of a square with side length 14?,56
Calculate the integral of 68x from 0 to 53.,95506
Solve for x in the equation x + 58 = 52.,-6
"Calculate the average of the numbers 25, 60, and 22.",35
What is the area of a rectangle with width 38 and height 11?,418
What is 51 divided by 67?,0
What is the area of a rectangle with width 3 and height 82?,246
A bag contains 61 red and 64 blue balls. What is the probability of drawing a red ball?,48.8%
What is 94 plus 67?,161
"Find the median of 58, 51, and 73.",58
Solve for x in the equation x + 93 = 75.,-18
What is the area of a circle with radius 13?,530.66
Solve for x in the equation x + 64 = 18.,-46
What is the area of a rectangle with width 72 and height 3?,216
What is the area of a circle with radius 6?,113.04
"Find the median of 48, 19, and 86.",48
What is 65 times 80?,5200
Solve for x in the equation x + 75 = 38.,-37
What is 25 divided by 37?,0
What is 49 minus 21?,28
What is 95 times 38?,3610
A bag contains 75 red and 68 blue balls. What is the probability of drawing a red ball?,52.45%
Solve for x in the equation x + 85 = 6.,-79
What is the area of a circle with radius 98?,30156.56
What is 32 plus 99?,131
What is the area of a rectangle with width 11 and height 45?,495
What is the area of a circle with radius 54?,9156.24
What is the perimeter of a square with side length 59?,236
"Find the median of 29, 30, and 99.",30
What is the area of a rectangle with width 58 and height 47?,2726
A bag contains 54 red and 53 blue balls. What is the probability of drawing a red ball?,50.47%
Find the derivative of 31x^2 at x = 24.,1488
What is the area of a rectangle with width 79 and height 36?,2844
What is the perimeter of a square with side length 66?,264
What is the area of a rectangle with width 98 and height 84?,8232
Find the derivative of 25x^2 at x = 23.,1150
Solve for x in the equation x + 90 = 31.,-59
What is the area of a rectangle with width 79 and height 49?,3871
What is 57 times 87?,4959
"Find the median of 20, 75, and 51.",51
What is 2 minus 78?,-76
What is the area of a rectangle with width 69 and height 47?,3243
What is 48 divided by 81?,0
"Find the median of 27, 34, and 84.",34
Calculate the integral of 76x from 0 to 63.,150822
What is the area of a rectangle with width 12 and height 68?,816
Solve for x in the equation x + 40 = 82.,42
Calculate the integral of 29x from 0 to 51.,37714
What is 35 times 29?,1015
"Calculate the average of the numbers 52, 4, and 78.",44
A bag contains 77 red and 39 blue balls. What is the probability of drawing a red ball?,66.38%
What is the perimeter of a square with side length 49?,196
What is the perimeter of a square with side length 50?,200
What is 37 minus 94?,-57
Find the derivative of 32x^2 at x = 45.,2880
What is the perimeter of a square with side length 28?,112
A bag contains 41 red and 60 blue balls. What is the probability of drawing a red ball?,40.59%
Find the derivative of 36x^2 at x = 24.,1728
What is the area of a rectangle with width 24 and height 31?,744
What is the perimeter of a square with side length 28?,112
"Calculate the average of the numbers 17, 14, and 8.",13
What is the area of a circle with radius 51?,8167.14
What is 87 divided by 47?,1
Find the derivative of 59x^2 at x = 71.,8378
A bag contains 90 red and 68 blue balls. What is the probability of drawing a red ball?,56.96%
What is 13 divided by 32?,0
What is the solution for x in the equation 2x - 27 = 5?,16
What is 4 plus 43?,47
Find the derivative of 94x^2 at x = 54.,10152
Solve for x in the equation x + 48 = 75.,27
What is the area of a circle with radius 17?,907.46
What is the solution for x in the equation 2x - 50 = 6?,28
What is 14 times 3?,42
"Calculate the average of the numbers 53, 56, and 19.",42
What is the area of a circle with radius 16?,803.84
Calculate the integral of 20x from 0 to 69.,47610
What is 58 plus 72?,130
What is the perimeter of a square with side length 53?,212
What is the perimeter of a square with side length 50?,200
What is the area of a rectangle with width 58 and height 53?,3074
What is 6 plus 4?,10
What is the area of a rectangle with width 16 and height 89?,1424
A bag contains 84 red and 97 blue balls. What is the probability of drawing a red ball?,46.41%
"Find the median of 79, 83, and 45.",79
What is the probability of rolling a die and getting a number greater than 64?,-966.67%
What is the perimeter of a square with side length 94?,376
What is 100 plus 1?,101
A bag contains 86 red and 57 blue balls. What is the probability of drawing a red ball?,60.14%
What is 46 times 72?,3312
What is the solution for x in the equation 2x - 72 = 3?,37
What is 4 minus 41?,-37
What is 81 minus 52?,29
What is 71 times 98?,6958
What is the solution for x in the equation 2x - 70 = 70?,70
What is 37 minus 18?,19
"Calculate the average of the numbers 9, 49, and 31.",29
What is the area of a circle with radius 24?,1808.64
Find the derivative of 31x^2 at x = 39.,2418
A bag contains 36 red and 92 blue balls. What is the probability of drawing a red ball?,28.12%
What is the area of a rectangle with width 70 and height 82?,5740
Solve for x in the equation x + 4 = 7.,3
What is the area of a rectangle with width 36 and height 93?,3348
"Calculate the average of the numbers 78, 16, and 73.",55
A bag contains 69 red and 44 blue balls. What is the probability of drawing a red ball?,61.06%
What is the area of a circle with radius 93?,27157.86
What is the probability of rolling a die and getting a number greater than 92?,-1433.33%
Find the derivative of 4x^2 at x = 68.,544
What is the solution for x in the equation 2x - 46 = 4?,25
Calculate the integral of 58x from 0 to 70.,142100
"Find the median of 99, 14, and 98.",98
Find the derivative of 43x^2 at x = 69.,5934
What is the perimeter of a square with side length 42?,168
What is the area of a rectangle with width 12 and height 47?,564
"Calculate the average of the numbers 92, 26, and 64.",60
What is 11 times 27?,297
Calculate the integral of 70x from 0 to 43.,64715
What is the perimeter of a square with side length 63?,252
What is 62 times 32?,1984
What is 40 divided by 34?,1
What is the area of a circle with radius 76?,18136.64
What is 27 divided by 39?,0
Find the derivative of 50x^2 at x = 25.,2500
What is the solution for x in the equation 2x - 63 = 55?,59
What is 72 divided by 75?,0
What is the area of a circle with radius 42?,5538.96
"Find the median of 60, 12, and 68.",60
What is the probability of rolling a die and getting a number greater than 55?,-816.67%
What is the area of a circle with radius 44?,6079.04
What is the area of a circle with radius 62?,12070.16
What is the solution for x in the equation 2x - 60 = 96?,78
"Find the median of 25, 89, and 13.",25
What is the probability of rolling a die and getting a number greater than 44?,-633.33%
Solve for x in the equation x + 79 = 86.,7
What is 98 times 81?,7938
What is the solution for x in the equation 2x - 4 = 51?,27
A bag contains 7 red and 83 blue balls. What is the probability of drawing a red ball?,7.78%
A bag contains 46 red and 49 blue balls. What is the probability of drawing a red ball?,48.42%
Find the derivative of 96x^2 at x = 19.,3648
"Calculate the average of the numbers 5, 58, and 69.",44
"Calculate the average of the numbers 65, 34, and 8.",35
What is the probability of rolling a die and getting a number greater than 89?,-1383.33%
Find the derivative of 76x^2 at x = 11.,1672
What is 6 divided by 68?,0
A bag contains 64 red and 54 blue balls. What is the probability of drawing a red ball?,54.24%
A bag contains 1 red and 17 blue balls. What is the probability of drawing a red ball?,5.56%
What is the solution for x in the equation 2x - 50 = 89?,69
"Find the median of 79, 6, and 36.",36
Solve for x in the equation x + 79 = 70.,-9
What is 70 divided by 10?,7
What is the area of a circle with radius 2?,12.56
Solve for x in the equation x + 65 = 12.,-53
What is 61 plus 97?,158
Calculate the integral of 73x from 0 to 90.,295650
What is 46 divided by 93?,0
What is the solution for x in the equation 2x - 29 = 70?,49
What is 48 divided by 46?,1
What is the solution for x in the equation 2x - 59 = 48?,53
Find the derivative of 91x^2 at x = 76.,13832
"Calculate the average of the numbers 20, 50, and 32.",34
What is the perimeter of a square with side length 77?,308
What is the probability of rolling a die and getting a number greater than 52?,-766.67%
Find the derivative of 86x^2 at x = 74.,12728
What is the area of a rectangle with width 51 and height 64?,3264
What is 92 times 84?,7728
What is the probability of rolling a die and getting a number greater than 14?,-133.33%
A bag contains 33 red and 98 blue balls. What is the probability of drawing a red ball?,25.19%
What is 6 divided by 70?,0
Solve for x in the equation x + 74 = 33.,-41
Find the derivative of 30x^2 at x = 14.,840
What is the area of a rectangle with width 100 and height 77?,7700
What is the probability of rolling a die and getting a number greater than 84?,-1300.0%
What is 55 plus 4?,59
What is the area of a rectangle with width 70 and height 7?,490
Calculate the integral of 38x from 0 to 2.,76
Solve for x in the equation x + 76 = 26.,-50
What is 89 divided by 90?,0
What is 73 times 46?,3358
Calculate the integral of 99x from 0 to 71.,249529
Calculate the integral of 29x from 0 to 94.,128122
A bag contains 90 red and 51 blue balls. What is the probability of drawing a red ball?,63.83%
What is 92 divided by 3?,30
Calculate the integral of 78x from 0 to 9.,3159
What is the area of a circle with radius 76?,18136.64
What is the solution for x in the equation 2x - 99 = 83?,91
A bag contains 99 red and 44 blue balls. What is the probability of drawing a red ball?,69.23%
"Calculate the average of the numbers 52, 79, and 78.",69
Calculate the integral of 30x from 0 to 98.,144060
What is the probability of rolling a die and getting a number greater than 7?,-16.67%
What is 99 minus 100?,-1
What is 46 times 17?,782
Solve for x in the equation x + 42 = 72.,30
What is the area of a rectangle with width 58 and height 54?,3132
"Calculate the average of the numbers 80, 99, and 55.",78
A bag contains 29 red and 40 blue balls. What is the probability of drawing a red ball?,42.03%
Calculate the integral of 24x from 0 to 3.,108
What is the perimeter of a square with side length 50?,200
A bag contains 73 red and 63 blue balls. What is the probability of drawing a red ball?,53.68%
"Find the median of 55, 75, and 59.",59
What is 95 times 85?,8075
What is the perimeter of a square with side length 21?,84
"Find the median of 25, 2, and 59.",25
What is 97 plus 23?,120
What is the area of a circle with radius 64?,12861.44
What is the area of a rectangle with width 29 and height 53?,1537
What is the probability of rolling a die and getting a number greater than 15?,-150.0%
Solve for x in the equation x + 36 = 23.,-13
Calculate the integral of 76x from 0 to 91.,314678
Find the derivative of 63x^2 at x = 31.,3906
Find the derivative of 41x^2 at x = 17.,1394
Find the derivative of 22x^2 at x = 56.,2464
What is 98 minus 45?,53
A bag contains 27 red and 93 blue balls. What is the probability of drawing a red ball?,22.5%
Calculate the integral of 15x from 0 to 58.,25230
What is 87 divided by 53?,1
What is 88 minus 80?,8
What is the probability of rolling a die and getting a number greater than 8?,-33.33%
What is the probability of rolling a die and getting a number greater than 79?,-1216.67%
What is 100 plus 36?,136
What is the perimeter of a square with side length 67?,268
What is the solution for x in the equation 2x - 21 = 47?,34
Calculate the integral of 23x from 0 to 37.,15743
What is the area of a circle with radius 82?,21113.36
A bag contains 4 red and 3 blue balls. What is the probability of drawing a red ball?,57.14%
What is 85 times 54?,4590
A bag contains 83 red and 26 blue balls. What is the probability of drawing a red ball?,76.15%
What is the perimeter of a square with side length 42?,168
"Find the median of 64, 11, and 19.",19
What is the area of a rectangle with width 69 and height 47?,3243
What is 43 divided by 58?,0
Solve for x in the equation x + 3 = 53.,50
What is the area of a rectangle with width 67 and height 43?,2881
Solve for x in the equation x + 82 = 88.,6
"Calculate the average of the numbers 86, 5, and 62.",51
Calculate the integral of 22x from 0 to 66.,47916
What is the area of a rectangle with width 76 and height 36?,2736
What is 2 minus 95?,-93
What is the perimeter of a square with side length 71?,284
Calculate the integral of 3x from 0 to 31.,1441
What is 88 plus 11?,99
What is the solution for x in the equation 2x - 100 = 90?,95
Calculate the integral of 75x from 0 to 13.,6337
Calculate the integral of 40x from 0 to 9.,1620
"Calculate the average of the numbers 80, 63, and 70.",71
What is 49 plus 90?,139
Calculate the integral of 74x from 0 to 33.,40293
Find the derivative of 79x^2 at x = 51.,8058
Find the derivative of 65x^2 at x = 97.,12610
What is 39 times 83?,3237
Solve for x in the equation x + 10 = 38.,28
What is the probability of rolling a die and getting a number greater than 5?,16.67%
"Find the median of 67, 6, and 42.",42
A bag contains 35 red and 18 blue balls. What is the probability of drawing a red ball?,66.04%
What is 61 divided by 47?,1
What is 33 minus 40?,-7
What is 57 divided by 25?,2
What is the area of a circle with radius 15?,706.5
What is the probability of rolling a die and getting a number greater than 63?,-950.0%
What is the solution for x in the equation 2x - 10 = 91?,50
Find the derivative of 41x^2 at x = 94.,7708
"Find the median of 7, 25, and 2.",7
Calculate the integral of 34x from 0 to 94.,150212
What is 40 minus 79?,-39
What is the area of a circle with radius 43?,5805.86
Calculate the integral of 30x from 0 to 86.,110940
What is the probability of rolling a die and getting a number greater than 63?,-950.0%
What is 50 divided by 43?,1
"Calculate the average of the numbers 63, 18, and 2.",27
What is the probability of rolling a die and getting a number greater than 100?,-1566.67%
Find the derivative of 20x^2 at x = 65.,2600
Solve for x in the equation x + 93 = 62.,-31
What is the area of a rectangle with width 52 and height 42?,2184
What is the area of a circle with radius 89?,24871.94
Calculate the integral of 77x from 0 to 26.,26026
What is the area of a circle with radius 93?,27157.86
What is the area of a rectangle with width 19 and height 79?,1501
What is 34 minus 93?,-59
What is the area of a circle with radius 39?,4775.94
"Find the median of 39, 50, and 61.",50
What is 61 divided by 24?,2
What is 31 plus 61?,92
What is the area of a circle with radius 57?,10201.86
What is the area of a circle with radius 88?,24316.16
What is the area of a circle with radius 77?,18617.06
What is the area of a rectangle with width 42 and height 47?,1974
What is 45 plus 38?,83
What is the area of a circle with radius 12?,452.16
What is the area of a rectangle with width 37 and height 89?,3293
"Calculate the average of the numbers 15, 62, and 68.",48
Solve for x in the equation x + 22 = 68.,46
Solve for x in the equation x + 13 = 99.,86
Find the derivative of 86x^2 at x = 97.,16684
What is 72 times 45?,3240
A bag contains 72 red and 24 blue balls. What is the probability of drawing a red ball?,75.0%
Calculate the integral of 41x from 0 to 33.,22324
What is 30 plus 1?,31
"Calculate the average of the numbers 72, 75, and 12.",53
A bag contains 92 red and 9 blue balls. What is the probability of drawing a red ball?,91.09%
What is the solution for x in the equation 2x - 84 = 55?,69
Calculate the integral of 48x from 0 to 77.,142296
A bag contains 86 red and 67 blue balls. What is the probability of drawing a red ball?,56.21%
What is the area of a circle with radius 80?,20096.0
What is the solution for x in the equation 2x - 86 = 63?,74
What is the probability of rolling a die and getting a number greater than 47?,-683.33%
What is the perimeter of a square with side length 40?,160
"Calculate the average of the numbers 32, 99, and 37.",56
"Calculate the average of the numbers 67, 98, and 43.",69
What is the perimeter of a square with side length 65?,260
"Calculate the average of the numbers 27, 100, and 85.",70
What is 13 minus 49?,-36
What is the probability of rolling a die and getting a number greater than 51?,-750.0%
What is the area of a rectangle with width 82 and height 44?,3608
"Find the median of 42, 34, and 37.",37
What is 97 times 89?,8633
"Find the median of 20, 64, and 77.",64
A bag contains 90 red and 39 blue balls. What is the probability of drawing a red ball?,69.77%
What is 45 times 10?,450
"Find the median of 5, 75, and 61.",61
Calculate the integral of 54x from 0 to 99.,264627
What is 79 divided by 93?,0
What is the perimeter of a square with side length 6?,24
"Find the median of 17, 43, and 57.",43
What is 59 plus 6?,65
"Calculate the average of the numbers 58, 32, and 99.",63
Solve for x in the equation x + 33 = 23.,-10
What is 72 divided by 80?,0
What is the area of a rectangle with width 62 and height 3?,186
Calculate the integral of 19x from 0 to 54.,27702
What is 92 times 40?,3680
What is 18 times 42?,756
What is 100 divided by 47?,2
Solve for x in the equation x + 78 = 48.,-30
Find the derivative of 97x^2 at x = 94.,18236
What is the perimeter of a square with side length 10?,40
"Find the median of 58, 67, and 18.",58
Solve for x in the equation x + 59 = 77.,18
What is the probability of rolling a die and getting a number greater than 20?,-233.33%
What is 61 minus 27?,34
What is 19 divided by 38?,0
What is the probability of rolling a die and getting a number greater than 35?,-483.33%
What is the solution for x in the equation 2x - 23 = 11?,17
What is 45 plus 73?,118
What is the area of a rectangle with width 12 and height 41?,492
What is the probability of rolling a die and getting a number greater than 28?,-366.67%
What is the area of a circle with radius 22?,1519.76
What is the area of a rectangle with width 96 and height 9?,864
What is 40 minus 18?,22
What is the probability of rolling a die and getting a number greater than 83?,-1283.33%
Solve for x in the equation x + 5 = 56.,51
What is 59 divided by 53?,1
What is the perimeter of a square with side length 21?,84
What is 5 times 91?,455
A bag contains 19 red and 7 blue balls. What is the probability of drawing a red ball?,73.08%
What is the area of a rectangle with width 20 and height 57?,1140
What is 59 minus 39?,20
What is 94 minus 71?,23
What is the perimeter of a square with side length 4?,16
What is 72 times 95?,6840
What is 47 times 79?,3713
A bag contains 25 red and 17 blue balls. What is the probability of drawing a red ball?,59.52%
What is 60 minus 54?,6
Solve for x in the equation x + 90 = 96.,6
What is the area of a rectangle with width 60 and height 94?,5640
A bag contains 64 red and 10 blue balls. What is the probability of drawing a red ball?,86.49%
Solve for x in the equation x + 79 = 80.,1
"Calculate the average of the numbers 31, 69, and 95.",65
What is 76 times 65?,4940
Calculate the integral of 20x from 0 to 10.,1000
What is the solution for x in the equation 2x - 75 = 50?,62
"Calculate the average of the numbers 54, 52, and 38.",48
What is the solution for x in the equation 2x - 100 = 18?,59
What is 69 times 16?,1104
"Calculate the average of the numbers 22, 45, and 82.",49
Find the derivative of 24x^2 at x = 24.,1152
What is 13 plus 41?,54
What is the perimeter of a square with side length 100?,400
What is 10 minus 75?,-65
What is 81 divided by 55?,1
What is the solution for x in the equation 2x - 39 = 53?,46
What is the area of a circle with radius 28?,2461.76
"Calculate the average of the numbers 93, 75, and 79.",82
What is 100 times 88?,8800
What is 27 divided by 58?,0
What is the probability of rolling a die and getting a number greater than 100?,-1566.67%
"Find the median of 97, 34, and 38.",38
What is 11 plus 49?,60
Find the derivative of 81x^2 at x = 10.,1620
A bag contains 36 red and 91 blue balls. What is the probability of drawing a red ball?,28.35%
"Find the median of 60, 91, and 77.",77
"Find the median of 20, 33, and 88.",33
Find the derivative of 54x^2 at x = 69.,7452
What is 72 times 39?,2808
Find the derivative of 33x^2 at x = 72.,4752
"Calculate the average of the numbers 78, 46, and 97.",73
What is 80 minus 38?,42
What is 11 minus 92?,-81
"Find the median of 28, 37, and 28.",28
What is 69 plus 89?,158
Calculate the integral of 92x from 0 to 19.,16606
What is 96 divided by 58?,1
What is the perimeter of a square with side length 73?,292
A bag contains 3 red and 42 blue balls. What is the probability of drawing a red ball?,6.67%
What is 46 minus 51?,-5
Find the derivative of 62x^2 at x = 15.,1860
What is the perimeter of a square with side length 84?,336
"Find the median of 31, 17, and 39.",31
What is the perimeter of a square with side length 73?,292
Solve for x in the equation x + 21 = 19.,-2
What is 8 divided by 43?,0
What is the area of a circle with radius 64?,12861.44
What is the area of a rectangle with width 37 and height 54?,1998
"Calculate the average of the numbers 79, 24, and 4.",35
What is the area of a circle with radius 87?,23766.66
What is the probability of rolling a die and getting a number greater than 42?,-600.0%
Solve for x in the equation x + 69 = 97.,28
What is the perimeter of a square with side length 46?,184
Find the derivative of 71x^2 at x = 86.,12212
"Find the median of 12, 29, and 82.",29
What is the solution for x in the equation 2x - 73 = 88?,80
Calculate the integral of 54x from 0 to 81.,177147
What is 75 minus 3?,72
What is 97 plus 89?,186
What is the area of a rectangle with width 14 and height 9?,126
What is 32 minus 55?,-23
What is the perimeter of a square with side length 84?,336
A bag contains 9 red and 65 blue balls. What is the probability of drawing a red ball?,12.16%
What is the probability of rolling a die and getting a number greater than 93?,-1450.0%
"Find the median of 59, 89, and 63.",63
What is the solution for x in the equation 2x - 48 = 50?,49
Calculate the integral of 53x from 0 to 29.,22286
What is the solution for x in the equation 2x - 82 = 26?,54
What is 86 divided by 100?,0
"Find the median of 67, 2, and 91.",67
What is 58 times 86?,4988
What is 37 plus 21?,58
Find the derivative of 57x^2 at x = 25.,2850
What is the solution for x in the equation 2x - 74 = 14?,44
What is the area of a rectangle with width 80 and height 91?,7280
What is 32 minus 23?,9
What is 14 divided by 28?,0
What is the area of a rectangle with width 53 and height 79?,4187
What is 85 minus 85?,0
Find the derivative of 55x^2 at x = 51.,5610
"Calculate the average of the numbers 66, 74, and 10.",50
What is the solution for x in the equation 2x - 36 = 83?,59
Solve for x in the equation x + 33 = 64.,31
What is 21 times 66?,1386
What is the area of a rectangle with width 20 and height 85?,1700
What is 80 minus 78?,2
